,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.error.server_down,TrainerCentral server is down.Sorry for inconvenience caused.Please try after some time.,TrainerCentral server is down.Sorry for inconvenience caused.Please try after some time.,TrainerCentral سرور بند ہے۔ پیش آنے والی تکلیف کے لئے معذرت خواہ ہیں۔ براہ کرم کچھ دیر بعد کوشش کریں۔,Serverul TrainerCentral este nefuncțional. Ne cerem scuze pentru neplăcerile cauzate. Vă rugăm să încercați din nou după un timp.,سرور TrainerCentral قطع است. بابت ناراحتی پیش‌آمده متأسفیم. لطفاً بعد از مدتی دوباره تلاش کنید.,Le serveur TrainerCentral est en panne. Désolé pour le désagrément causé. Veuillez réessayer après un certain temps.,TrainerCentral सर्वर डाउन है। असुविधा के लिए खेद है। कृपया कुछ समय बाद प्रयास करें।,خادم TrainerCentral متوقف. نعتذر عن الإزعاج. يرجى المحاولة بعد بعض الوقت.,TrainerCentral ਸਰਵਰ ਡਾਊਨ ਹੈ। ਹੋਈ ਅਸੁਵਿਧਾ ਲਈ ਮਾਫ ਕਰਨਾ। ਕਿਰਪਾ ਕਰਕੇ ਕੁਝ ਸਮੇਂ ਬਾਅਦ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,"El servidor de TrainerCentral está caído. Lamentamos las molestias causadas. Por favor, inténtalo de nuevo más tarde.",TrainerCentral-Server ist ausgefallen. Entschuldigung für die Unannehmlichkeiten. Bitte versuchen Sie es später erneut.,TrainerCentralサーバーがダウンしています。ご不便をおかけして申し訳ありません。しばらくしてから再試行してください。,TrainerCentral 서버가 다운되었습니다. 불편을 드려 죄송합니다. 잠시 후 다시 시도해 주세요.,"Сервер TrainerCentral не працює. Вибачте за незручності. Будь ласка, спробуйте пізніше.",د ټرینر سنټرل سرور بند دی. د رامنځته شوي تکلیف لپاره بخښنه غواړو. مهرباني وکړئ وروسته هڅه وکړئ.,TrainerCentral服务器已关闭。对造成的不便深表歉意。请稍后再试。
label.coursetransaction,Course - Transaction,Course - Transaction,کورس - لین دین,Curs - Tranzacție,دوره - تراکنش,Cours - Transaction,कोर्स - लेन-देन,الدورة - المعاملة,ਕੋਰਸ - ਲੈਣ-ਦੇਣ,Curso - Transacción,Kurs - Transaktion,コース - トランザクション,코스 - 거래,Курс - Транзакція,کورس - معامله,课程 - 交易
label.assignment.resubmissionprogress,Resubmissing in progress,Resubmissing in progress,دوبارہ جمع کروانے کا عمل جاری ہے۔,Retrimiterea în curs,در حال ارسال مجدد,Resoumission en cours,पुनः सबमिटिंग प्रगति पर है,إعادة التقديم قيد التقدم,ਮੁੜ ਜਮ੍ਹਾਂ ਕਰਨ ਦੀ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ,Reenvío en progreso,Erneute Einreichung in Bearbeitung,再提出中,재제출 진행 중,Переподання в процесі,بیا سپارنه په پرمختګ کې ده,重新提交中
pie.accessReq.attendee.screen.stop_heading,Attendee sharing screen,Attendee sharing screen,شرکت کنندہ اسکرین شیئر کر رہا ہے۔,Participant care partajează ecranul.,اشتراک‌گذاری صفحه توسط شرکت‌کننده,Participant partageant l'écran,उपस्थित व्यक्ति स्क्रीन साझा कर रहा है,مشارك يشارك الشاشة,ਹਾਜ਼ਰੀ ਸਕ੍ਰੀਨ ਸਾਂਝਾ ਕਰ ਰਿਹਾ ਹੈ,Asistente compartiendo pantalla,Teilnehmer teilt Bildschirm,参加者が画面を共有しています,참석자가 화면을 공유 중입니다.,Учасник ділиться екраном,ګډونوال سکرین شریکوي,与会者共享屏幕
pie.session.registration_rejected,The presenter has rejected your registration for this session.,The presenter has rejected your registration for this session.,پیش کنندہ نے اس سیشن کے لیے آپ کی رجسٹریشن کو مسترد کر دیا ہے۔,Prezentatorul a respins înregistrarea dumneavoastră pentru această sesiune.,ارائه‌دهنده ثبت‌نام شما را برای این جلسه رد کرده است.,Le présentateur a rejeté votre inscription pour cette session.,प्रस्तुतकर्ता ने इस सत्र के लिए आपका पंजीकरण अस्वीकार कर दिया है।,رفض المقدم تسجيلك لهذه الجلسة.,ਪ੍ਰਸਤੁਤਕਰਤਾ ਨੇ ਇਸ ਸੈਸ਼ਨ ਲਈ ਤੁਹਾਡੀ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਨੂੰ ਰੱਦ ਕਰ ਦਿੱਤਾ ਹੈ।,El presentador ha rechazado tu inscripción para esta sesión.,Der Moderator hat Ihre Registrierung für diese Sitzung abgelehnt.,プレゼンターがこのセッションの登録を拒否しました。,발표자가 이 세션에 대한 귀하의 등록을 거부했습니다.,Ведучий відхилив вашу реєстрацію на цей сеанс.,پریزنټر ستاسو د دې غونډې لپاره ثبت رد کړی دی.,主持人已拒绝您对此会议的注册。
pie.pricing.part_payment.amount,Amount,Amount,رقم,Sumă,مقدار,Montant,राशि,المبلغ,ਰਕਮ,Monto,Betrag,金額,금액,Сума,مقدار,金额
pie.course.ilc.batch.you_dont_have_valid_purchase,You don't have valid purchase for this batch,You don't have valid purchase for this batch,آپ کے پاس اس بیچ کے لیے درست خریداری نہیں ہے۔,Nu aveți o achiziție validă pentru acest lot.,شما خرید معتبر برای این دسته ندارید.,Vous n'avez pas d'achat valide pour ce lot,आपके पास इस बैच के लिए वैध खरीद नहीं है,ليس لديك شراء صالح لهذه الدفعة,ਤੁਹਾਡੇ ਕੋਲ ਇਸ ਬੈਚ ਲਈ ਵੈਧ ਖਰੀਦ ਨਹੀਂ ਹੈ,No tienes una compra válida para este lote,Sie haben keinen gültigen Kauf für diesen Batch,このバッチの有効な購入がありません,이 배치에 대한 유효한 구매가 없습니다.,У вас немає дійсної покупки для цієї партії,تاسو د دې ډلې لپاره معتبر پیرود نه لرئ,您没有对此批次的有效购买。
pie.analyze.textbox,Single textbox,Single textbox,سنگل ٹیکسٹ باکس,Casetă text unică,تک جعبه متن,Zone de texte unique,एकल टेक्स्टबॉक्स,مربع نص واحد,ਇੱਕਲ ਟੈਕਸਟਬਾਕਸ,Cuadro de texto único,Einzelnes Textfeld,単一テキストボックス,단일 텍스트 상자,Один текстовий блок,یوه متن بکس,单个文本框
label.session.upcoming,Upcoming Sessions,Upcoming Sessions,آنے والے سیشنز,Sesiuni viitoare,جلسات آینده,Sessions à venir,आगामी सत्र,الجلسات القادمة,ਆਉਣ ਵਾਲੇ ਸੈਸ਼ਨ,Próximas Sesiones,Bevorstehende Sitzungen,今後のセッション,예정된 세션,Майбутні сеанси,راتلونکي غونډې,即将举行的会议
notify.subscriptions.cancel.successfully,Subscription cancelled successfully,Subscription cancelled successfully,سبسکرپشن کامیابی سے منسوخ کر دی گئی۔,Abonament anulat cu succes.,اشتراک با موفقیت لغو شد,Abonnement annulé avec succès,सदस्यता सफलतापूर्वक रद्द कर दी गई,تم إلغاء الاشتراك بنجاح,ਸਬਸਕ੍ਰਿਪਸ਼ਨ ਸਫਲਤਾਪੂਰਵਕ ਰੱਦ ਕੀਤਾ ਗਿਆ,Suscripción cancelada con éxito,Abonnement erfolgreich gekündigt,サブスクリプションが正常にキャンセルされました,구독이 성공적으로 취소되었습니다.,Підписка успішно скасована,ګډون په بریالیتوب سره لغوه شو,订阅已成功取消
ticket.content.payment-details,Payment Details,Payment Details,ادائیگی کی تفصیلات,Detalii de plată,جزئیات پرداخت,Détails du paiement,भुगतान विवरण,تفاصيل الدفع,ਭੁਗਤਾਨ ਵੇਰਵੇ,Detalles de Pago,Zahlungsdetails,支払い詳細,결제 세부 정보,Деталі оплати,د تادیې توضیحات,付款详情
pie.broadcast.error.media.stream_timeout_error,There's been a timeout error in fetching the stream from your browser,There's been a timeout error in fetching the stream from your browser,آپ کے براؤزر سے اسٹریم حاصل کرنے میں ٹائم آؤٹ کی خرابی ہوئی ہے۔,A apărut o eroare de timeout la preluarea fluxului din browserul dumneavoastră,خطای زمان‌سنجی در دریافت جریان از مرورگر شما رخ داده است.,Il y a eu une erreur de délai d'attente lors de la récupération du flux depuis votre navigateur,आपके ब्राउज़र से स्ट्रीम प्राप्त करने में टाइमआउट त्रुटि हुई है,حدث خطأ في الوقت أثناء جلب البث من متصفحك,ਤੁਹਾਡੇ ਬ੍ਰਾਊਜ਼ਰ ਤੋਂ ਸਟ੍ਰੀਮ ਪ੍ਰਾਪਤ ਕਰਨ ਵਿੱਚ ਸਮਾਂ ਖਤਮ ਹੋਣ ਦੀ ਗਲਤੀ ਹੋਈ ਹੈ,Ha habido un error de tiempo de espera al obtener la transmisión desde tu navegador,Es gab einen Timeout-Fehler beim Abrufen des Streams von Ihrem Browser,ブラウザからのストリームの取得中にタイムアウトエラーが発生しました,브라우저에서 스트림을 가져오는 동안 시간 초과 오류가 발생했습니다.,Сталася помилка тайм-ауту при отриманні потоку з вашого браузера,ستاسو د براوزر څخه د جریان ترلاسه کولو کې د وخت تېروتنه شوې,从您的浏览器获取流时发生了超时错误。
pie.test.submitbutton.status.starting,Starting..,Starting..,شروع ہو رہا ہے۔,Începând...,شروع...,Démarrage..,शुरू हो रहा है..,يبدأ..,ਸ਼ੁਰੂ ਹੋ ਰਿਹਾ ਹੈ..,Iniciando...,Starten..,開始中..,시작 중..,Початок..,پیل..,开始中..
pie.common.Day,Day,Day,دن,Ziua,روز,Jour,दिन,اليوم,ਦਿਨ,Día,Tag,日,일,День,ورځ,日
pie.session.audio_error,There seems to be a problem in listening to the audio.,There seems to be a problem in listening to the audio.,آڈیو سننے میں مسئلہ معلوم ہوتا ہے۔,Se pare că există o problemă la ascultarea audio-ului.,به نظر می‌رسد مشکلی در شنیدن صدا وجود دارد.,Il semble y avoir un problème pour écouter l'audio.,ऑडियो सुनने में समस्या प्रतीत होती है।,يبدو أن هناك مشكلة في الاستماع إلى الصوت.,ਆਡੀਓ ਸੁਣਨ ਵਿੱਚ ਕੋਈ ਸਮੱਸਿਆ ਲੱਗਦੀ ਹੈ।,Parece haber un problema al escuchar el audio.,Es scheint ein Problem beim Hören des Audios zu geben.,オーディオの聞き取りに問題があるようです。,오디오 청취에 문제가 있는 것 같습니다.,"Схоже, виникла проблема з прослуховуванням аудіо.",د آډیو اوریدلو کې ستونزه ښکاري.,听音频似乎有问题。
pie.broadcast.good_bandwidth,Good bandwidth,Good bandwidth,اچھی بینڈوڈتھ,Bandă largă bună,پهنای باند خوب,Bonne bande passante,अच्छी बैंडविड्थ,عرض نطاق جيد,ਚੰਗੀ ਬੈਂਡਵਿਡਥ,Buen ancho de banda,Gute Bandbreite,良好な帯域幅,좋은 대역폭,Хороша пропускна здатність,ښه بینډ ویت,良好的带宽
pie.app.courselist.error,Unable to load more courses.,Unable to load more courses.,مزید کورسز لوڈ کرنے سے قاصر۔,Nu se pot încărca mai multe cursuri.,قادر به بارگذاری دوره‌های بیشتر نیست.,Impossible de charger plus de cours.,अधिक कोर्स लोड करने में असमर्थ।,غير قادر على تحميل المزيد من الدورات.,ਹੋਰ ਕੋਰਸ ਲੋਡ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥ।,No se pueden cargar más cursos.,Es können keine weiteren Kurse geladen werden.,これ以上のコースを読み込めません。,더 많은 과정을 로드할 수 없습니다.,Неможливо завантажити більше курсів.,نور کورسونه پورته کولو توان نشته.,无法加载更多课程。
pie.bundle.bundle.lowercase,bundle,bundle,گٹھری,pachet,بسته,ensemble,बंडल,حزمة,ਬੰਡਲ,paquete,Bundle,バンドル,번들,пакет,بسته,捆绑
ticket.content.coupon,Coupon,Coupon,کوپن,Cupon,کوپن,Coupon,कूपन,قسيمة,ਕੂਪਨ,Cupón,Gutschein,クーポン,쿠폰,Купон,کوپن,优惠券
pie.broadcast.focus_mode,Focus mode,Focus mode,فوکس موڈ,Mod de concentrare,حالت تمرکز,Mode concentration,फोकस मोड,وضع التركيز,ਫੋਕਸ ਮੋਡ,Modo de enfoque,Fokusmodus,フォーカスモード,집중 모드,Режим фокусування,د تمرکز حالت,专注模式
pie.polldisplay.hideresult,Hide result,Hide result,نتیجہ چھپائیں,Ascunde rezultatul,پنهان کردن نتیجه,Masquer le résultat,परिणाम छिपाएं,إخفاء النتيجة,ਨਤੀਜਾ ਛੁਪਾਓ,Ocultar resultado,Ergebnis ausblenden,結果を非表示,결과 숨기기,Сховати результат,پایله پټه کړئ,隐藏结果
